-2.00000E+00  0.00000E+00  1.00000E+00  1.00000E+00  1.50000E+00
-1.99000E+00  0.00000E+00  1.00000E+00  1.00000E+00  1.50000E+00
-1.98000E+00  0.00000E+00  1.00000E+00  1.00000E+00  1.50000E+00
-1.97000E+00  0.00000E+00  1.00000E+00  1.00000E+00  1.50000E+00
-1.96000E+00  0.00000E+00  1.00000E+00  1.00000E+00  1.50000E+00
-1.95000E+00  0.00000E+00  1.00000E+00  1.00000E+00  1.50000E+00
-1.94000E+00  0.00000E+00  1.00000E+00  1.00000E+00  1.50000E+00
-1.93000E+00  0.00000E+00  1.00000E+00  1.00000E+00  1.50000E+00
-1.92000E+00  0.00000E+00  1.00000E+00  1.00000E+00  1.50000E+00
-1.91000E+00  0.00000E+00  1.00000E+00  1.00000E+00  1.50000E+00
-1.90000E+00  0.00000E+00  1.00000E+00  1.00000E+00  1.50000E+00
-1.89000E+00  0.00000E+00  1.00000E+00  1.00000E+00  1.50000E+00
-1.88000E+00  0.00000E+00  1.00000E+00  1.00000E+00  1.50000E+00
-1.87000E+00  0.00000E+00  1.00000E+00  1.00000E+00  1.50000E+00
-1.86000E+00  0.00000E+00  1.00000E+00  1.00000E+00  1.50000E+00
-1.85000E+00  0.00000E+00  1.00000E+00  1.00000E+00  1.50000E+00
-1.84000E+00  0.00000E+00  1.00000E+00  1.00000E+00  1.50000E+00
-1.83000E+00  0.00000E+00  1.00000E+00  1.00000E+00  1.50000E+00
-1.82000E+00  0.00000E+00  1.00000E+00  1.00000E+00  1.50000E+00
-1.81000E+00  0.00000E+00  1.00000E+00  1.00000E+00  1.50000E+00
-1.80000E+00  0.00000E+00  1.00000E+00  1.00000E+00  1.50000E+00
-1.79000E+00  0.00000E+00  1.00000E+00  1.00000E+00  1.50000E+00
-1.78000E+00  0.00000E+00  1.00000E+00  1.00000E+00  1.50000E+00
-1.77000E+00  0.00000E+00  1.00000E+00  1.00000E+00  1.50000E+00
-1.76000E+00  0.00000E+00  1.00000E+00  1.00000E+00  1.50000E+00
-1.75000E+00  0.00000E+00  1.00000E+00  1.00000E+00  1.50000E+00
-1.74000E+00  0.00000E+00  1.00000E+00  1.00000E+00  1.50000E+00
